,GEOID,race_prop,race_nonw,tenu_p-rent,tenu_rent,tenu_tot
2048,410510028011,0.1478787878787879,244,0.1104199066874028,71,643
2049,410510005024,0.22447013487475914,233,0.4966292134831461,221,445
2050,410510005023,0.30915684496826834,341,0.32919254658385094,106,322
2051,410510008021,0.10520939734422881,103,0.4053398058252427,167,412
2052,410510010001,0.1024390243902439,84,0.6074270557029178,229,377
2053,410510010005,0.2789904502046385,409,0.5189655172413793,301,580
2054,410510012011,0.1791044776119403,120,0.9144144144144144,406,444
2055,410510012023,0.17935349322210636,172,0.37468354430379747,148,395
2056,410290013014,0.07044534412955465,174,0.14442916093535077,105,727
2057,410290021001,0.07578448786264061,128,0.4740484429065744,411,867
2058,410290029004,0.05337078651685393,57,0.5548654244306418,268,483
2059,410290029003,0.05110274341043572,95,0.3456221198156682,225,651
2060,410290018004,0.09349397590361445,194,0.7211155378486056,724,1004
2061,410290020001,0.03185840707964602,36,0.668769716088328,424,634
2062,410290026001,0.07509578544061303,98,0.303886925795053,172,566
2063,410290028002,0.05199667221297837,125,0.1625,156,960
2064,410290008002,0.08119079837618404,180,0.24213836477987422,231,954
2065,410290007003,0.038523274478330656,24,0.28444444444444444,64,225
2066,410190500013,0.06705118961788031,93,0.3963302752293578,216,545
2067,410191800002,0.018867924528301886,10,0.10833333333333334,26,240
2068,410191800003,0.01171875,9,0.2841726618705036,79,278
2069,410359714005,0.07079081632653061,111,0.0634648370497427,37,583
2070,410359714004,0.07832699619771863,103,0.10772357723577236,53,492
2071,410359715003,0.1776,111,0.24206349206349206,61,252
2072,410359718002,0.17992177314211213,138,0.6797385620915033,208,306
2073,410030102001,0.13588208198986643,295,0.21681997371879105,165,761
2074,410030011014,0.34515570934256057,399,0.8482142857142857,190,224
2075,410670317045,0.06408544726301736,48,0.11217948717948718,35,312
2076,410670317043,0.13528138528138528,125,0.09495548961424333,32,337
2077,410030011013,0.252387448840382,185,0.9547511312217195,211,221
2078,410099702002,0.15934959349593497,196,0.26156941649899396,130,497
2079,410099708001,0.09346991037131883,146,0.559322033898305,396,708
2080,410099703005,0.11296534017971759,88,0.4423076923076923,161,364
2081,410099703001,0.0773109243697479,92,0.2693208430913349,115,427
2082,410390021021,0.11255210745715609,243,0.5996112730806609,617,1029
2083,410579603001,0.09956236323851203,91,0.38144329896907214,148,388
2084,410510091023,0.5643776824034334,526,0.8712328767123287,318,365
2085,410390031013,0.18631683825971437,561,0.4852173913043478,558,1150
2086,410050221014,0.09869281045751634,151,0.31309297912713474,165,527
2087,410050227024,0.12265512265512266,85,0.11409395973154363,34,298
2088,410510098033,0.2997679814385151,646,0.20503597122302158,114,556
2089,410170020003,0.08413597733711048,297,0.30419331911869224,428,1407
2090,410170021001,0.081419624217119,195,0.3344191096634093,308,921
2091,410170016003,0.08270921523933572,254,0.5941626129256428,855,1439
2092,410170011003,0.1007423117709438,760,0.2861468584405753,756,2642
2093,410170007001,0.055419323197645906,113,0.0830945558739255,58,698
2094,410670333011,0.18715642178910544,749,0.11127933383800151,147,1321
2095,410050241002,0.016453382084095063,27,0.04292527821939587,27,629
2096,410050206002,0.17220172201722017,560,0.14897260273972604,174,1168
2097,410050203032,0.1027190332326284,102,0.41843971631205673,236,564
2098,410050208001,0.13579387186629527,195,0.743073047858942,590,794
2099,410359708001,0.10581222056631892,142,0.15641476274165203,89,569
2100,410359716001,0.031161473087818695,22,0.4827586206896552,98,203
2101,410359712001,0.17970204841713222,193,0.4675324675324675,216,462
2102,410359713002,0.20270270270270271,120,0.6481481481481481,175,270
2103,410359713004,0.042483660130718956,26,0.19327731092436976,46,238
2104,410170013003,0.0065252854812398045,12,0.4617737003058104,302,654
