grid_point,hhinc_low,x,y
516,85,7644181.0722,448733.79689999996
517,34,7644181.0722,438173.79689999996
518,263,7654741.0722,681053.7969
519,218,7654741.0722,670493.7969
520,104,7654741.0722,659933.7969
521,107,7654741.0722,649373.7969
522,369,7654741.0722,638813.7969
523,138,7654741.0722,628253.7969
524,136,7654741.0722,617693.7969
525,80,7654741.0722,607133.7969
526,313,7654741.0722,596573.7969
527,170,7654741.0722,586013.7969
528,79,7654741.0722,575453.7969
529,79,7654741.0722,564893.7969
530,79,7654741.0722,554333.7969
531,79,7654741.0722,543773.7969
532,164,7654741.0722,533213.7969
533,164,7654741.0722,522653.79689999996
534,164,7654741.0722,512093.79689999996
535,34,7654741.0722,501533.79689999996
536,34,7654741.0722,490973.79689999996
537,34,7654741.0722,480413.79689999996
538,34,7654741.0722,469853.79689999996
539,34,7654741.0722,459293.79689999996
540,34,7654741.0722,448733.79689999996
541,34,7654741.0722,438173.79689999996
542,232,7665301.0722,681053.7969
543,154,7665301.0722,670493.7969
544,87,7665301.0722,659933.7969
545,368,7665301.0722,649373.7969
546,123,7665301.0722,638813.7969
547,128,7665301.0722,628253.7969
548,288,7665301.0722,617693.7969
549,143,7665301.0722,607133.7969
550,313,7665301.0722,596573.7969
551,141,7665301.0722,586013.7969
552,141,7665301.0722,575453.7969
553,79,7665301.0722,564893.7969
554,461,7665301.0722,554333.7969
555,205,7665301.0722,543773.7969
556,164,7665301.0722,533213.7969
557,164,7665301.0722,522653.79689999996
