,id,left,top,right,bottom,geometry,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,OBJECTID,UTILITYNAM,CREATIONUS,DATECREATE,DATEMODIFI,LASTUSER,GLOBALID,SHAPE_STAr,SHAPE_STLe,hhinc_<10,hhinc_10-15,hhinc_15-20,hhinc_20-25,hhinc_25-30,hhinc_30-35,hhinc_35-40,hhinc_40-45,hhinc_45-50,hhinc_50-60,hhinc_60-75,hhinc_med
67,68,7364541.9918,524372.1747,7375101.9918,534932.1747,POINT (7364541.9918 524372.1747),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,69,7364541.9918,513812.1747,7375101.9918,524372.1747,POINT (7364541.9918 513812.1747),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,70,7364541.9918,503252.1747,7375101.9918,513812.1747,POINT (7364541.9918 503252.1747),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,71,7364541.9918,492692.1747,7375101.9918,503252.1747,POINT (7364541.9918 492692.1747),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,72,7364541.9918,482132.1747,7375101.9918,492692.1747,POINT (7364541.9918 482132.1747),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,73,7364541.9918,471572.1747,7375101.9918,482132.1747,POINT (7364541.9918 471572.1747),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,74,7364541.9918,461012.1747,7375101.9918,471572.1747,POINT (7364541.9918 461012.1747),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,75,7364541.9918,450452.1747,7375101.9918,461012.1747,POINT (7364541.9918 450452.1747),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,76,7364541.9918,439892.1747,7375101.9918,450452.1747,POINT (7364541.9918 439892.1747),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,77,7364541.9918,429332.1747,7375101.9918,439892.1747,POINT (7364541.9918 429332.1747),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,78,7364541.9918,418772.1747,7375101.9918,429332.1747,POINT (7364541.9918 418772.1747),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,79,7364541.9918,408212.1747,7375101.9918,418772.1747,POINT (7364541.9918 408212.1747),41,053,020400,3,410530204003,Block Group 3,G5030,S,662105806.0,1906474.0,+44.8746280,-123.6035568,329.0,PGE,E02641,2018-10-15,2018-10-15,E02641,{BDED2F21-9A0D-4EAE-ACB9-5062C6D62A03},113601558001.0,3373898.83816,23,14,3,36,13,10,8,9,0,21,30,71691
79,80,7364541.9918,397652.1747,7375101.9918,408212.1747,POINT (7364541.9918 397652.1747),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,81,7375101.9918,809492.1747,7385661.9918,820052.1747,POINT (7375101.9918 809492.1747),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,82,7375101.9918,798932.1747,7385661.9918,809492.1747,POINT (7375101.9918 798932.1747),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
