NAME,B19051_001E,B19051_002E,B19051_003E,B19058_001E,B19058_002E,B19058_003E,B19001_001E,B19001_002E,B19001_003E,B19001_004E,B19001_005E,B19001_006E,B19001_007E,B19001_008E,B19001_009E,B19001_010E,B19001_011E,B19001_012E,B19001_013E,B19001_014E,B19001_015E,B19001_016E,B19001_017E,state,county,tract,block group,GEOID
"Block Group 4, Census Tract 3613, Josephine County, Oregon",819,520,299,819,222,597,819,47,66,55,36,34,17,73,15,39,84,45,186,56,16,28,22,41,033,361300,4,410333613004
"Block Group 2, Census Tract 16.04, Marion County, Oregon",523,378,145,523,172,351,523,62,0,65,22,42,125,19,0,21,0,104,63,0,0,0,0,41,047,001604,2,410470016042
"Block Group 2, Census Tract 214, Clackamas County, Oregon",395,350,45,395,109,286,395,22,0,26,0,28,0,0,31,52,93,71,27,18,21,0,6,41,005,021400,2,410050214002
"Block Group 3, Census Tract 214, Clackamas County, Oregon",400,367,33,400,30,370,400,53,0,19,29,0,51,11,48,15,61,39,0,30,44,0,0,41,005,021400,3,410050214003
"Block Group 1, Census Tract 9718, Klamath County, Oregon",382,258,124,382,143,239,382,31,72,28,16,7,26,5,46,19,17,30,23,30,22,0,10,41,035,971800,1,410359718001
"Block Group 2, Census Tract 9703, Klamath County, Oregon",212,123,89,212,15,197,212,9,8,0,0,17,17,15,12,9,19,12,79,15,0,0,0,41,035,970300,2,410359703002
"Block Group 1, Census Tract 9703, Klamath County, Oregon",295,69,226,295,63,232,295,27,10,29,40,0,9,11,23,34,12,45,20,0,11,24,0,41,035,970300,1,410359703001
"Block Group 3, Census Tract 9703, Klamath County, Oregon",403,247,156,403,49,354,403,33,8,0,0,23,0,10,50,14,15,86,97,32,0,5,30,41,035,970300,3,410359703003
"Block Group 4, Census Tract 9703, Klamath County, Oregon",306,230,76,306,10,296,306,0,0,0,32,0,33,0,0,13,120,32,33,33,0,0,10,41,035,970300,4,410359703004
"Block Group 2, Census Tract 9705, Klamath County, Oregon",247,134,113,247,46,201,247,34,5,9,25,25,0,16,12,15,21,45,4,13,14,5,4,41,035,970500,2,410359705002
"Block Group 1, Census Tract 9705, Klamath County, Oregon",426,280,146,426,98,328,426,21,40,24,22,63,36,29,8,5,5,70,68,9,17,5,4,41,035,970500,1,410359705001
"Block Group 3, Census Tract 9711, Klamath County, Oregon",553,402,151,553,19,534,553,13,88,19,0,16,15,0,0,0,104,77,106,25,77,13,0,41,035,971100,3,410359711003
"Block Group 4, Census Tract 9711, Klamath County, Oregon",227,200,27,227,50,177,227,0,0,0,57,0,0,8,0,0,12,48,37,53,12,0,0,41,035,971100,4,410359711004
"Block Group 1, Census Tract 9711, Klamath County, Oregon",311,260,51,311,40,271,311,0,15,40,9,27,0,12,16,20,28,134,10,0,0,0,0,41,035,971100,1,410359711001
"Block Group 2, Census Tract 9711, Klamath County, Oregon",1049,779,270,1049,144,905,1049,0,20,0,14,27,0,85,0,48,212,67,226,118,39,130,63,41,035,971100,2,410359711002
"Block Group 2, Census Tract 106, Marion County, Oregon",627,483,144,627,88,539,627,28,17,23,31,26,30,55,8,63,57,47,70,68,66,11,27,41,047,010600,2,410470106002
"Block Group 3, Census Tract 106, Marion County, Oregon",291,146,145,291,62,229,291,24,26,16,6,14,11,9,19,28,14,28,68,4,15,6,3,41,047,010600,3,410470106003
"Block Group 3, Census Tract 13, Marion County, Oregon",289,230,59,289,9,280,289,0,0,0,0,0,0,31,18,8,34,28,83,31,25,31,0,41,047,001300,3,410470013003
"Block Group 1, Census Tract 13, Marion County, Oregon",825,723,102,825,50,775,825,15,0,61,8,26,17,32,7,16,33,103,131,128,44,83,121,41,047,001300,1,410470013001
"Block Group 3, Census Tract 15.01, Marion County, Oregon",726,459,267,726,161,565,726,9,38,9,66,42,42,64,9,73,40,138,91,46,13,9,37,41,047,001501,3,410470015013
"Block Group 1, Census Tract 15.01, Marion County, Oregon",473,387,86,473,64,409,473,0,9,26,9,33,35,10,0,14,17,80,86,46,31,35,42,41,047,001501,1,410470015011
"Block Group 4, Census Tract 16.02, Marion County, Oregon",651,557,94,651,46,605,651,0,28,0,184,0,19,0,0,90,0,117,145,33,35,0,0,41,047,001602,4,410470016024
"Block Group 2, Census Tract 16.02, Marion County, Oregon",941,706,235,941,419,522,941,105,33,62,68,222,49,107,114,88,17,63,13,0,0,0,0,41,047,001602,2,410470016022
"Block Group 1, Census Tract 16.02, Marion County, Oregon",806,676,130,806,352,454,806,19,68,53,44,74,50,57,27,42,173,124,27,0,0,0,48,41,047,001602,1,410470016021
"Block Group 3, Census Tract 18.02, Marion County, Oregon",381,381,0,381,99,282,381,0,0,0,0,0,17,0,0,14,123,60,83,36,21,27,0,41,047,001802,3,410470018023
"Block Group 2, Census Tract 18.02, Marion County, Oregon",462,371,91,462,72,390,462,0,25,15,0,0,31,18,0,68,14,188,0,48,0,55,0,41,047,001802,2,410470018022
"Block Group 1, Census Tract 23.01, Marion County, Oregon",948,762,186,948,136,812,948,0,0,10,7,18,104,35,30,16,83,243,115,139,69,35,44,41,047,002301,1,410470023011
