,GEOID,hhinc_low
920,410050229042,239
921,410050229052,33
922,410050229051,44
923,410050230021,114
924,410699601001,151
925,410170012002,67
926,410670312004,448
927,410510011012,415
928,410459709004,63
929,410459709001,108
930,410390024013,143
931,410430208023,302
932,410430208021,178
933,410430208024,393
934,410510024021,322
935,410510024023,192
936,410510029031,388
937,410510029032,150
938,410510029034,157
939,410510033011,124
940,410510033012,248
941,410510037022,48
942,410510037023,204
943,410670329021,136
944,410510099032,139
945,410510101002,583
946,410510101001,80
947,410510101003,404
948,410510103061,103
949,410510104091,451
950,410510104093,13
951,410510016016,103
952,410510016014,232
953,410510016012,52
954,410510016013,266
955,410510006011,305
956,410510009014,83
957,410510009012,87
958,410510009011,114
959,410670324102,72
960,410670324103,165
961,410670325021,255
962,410670325011,329
963,410670325012,149
964,410670315085,63
965,410670315084,18
966,410670329023,158
967,410670329024,147
968,410670308034,353
969,410470005012,249
970,410470005011,209
971,410390007062,293
972,410470018031,688
973,410470018032,0
974,410470026002,70
975,410470026001,72
976,410050242001,259
977,410050242002,171
978,410050242004,130
979,410050242003,234
980,410050210001,113
981,410050210003,132
982,410050218011,120
983,410050218012,55
984,410050227022,151
985,410050227021,203
986,410050213002,94
987,410050213001,491
988,410050204012,43
989,410050204013,187
990,410333613001,285
991,410333613003,234
992,410333614002,399
993,410333607012,174
994,410333607011,552
995,410333603004,408
996,410333603003,303
997,410333604002,429
998,410333612001,820
999,410333612003,425
1000,410333601001,373
1001,410333601002,146
1002,410333609001,408
1003,410333606002,280
1004,410333606003,134
1005,410333606001,346
1006,410470027005,101
1007,410510012022,80
1008,410510012021,128
1009,410290006023,119
1010,410470103071,387
1011,410470103072,143
1012,410470102011,102
1013,410470102012,107
1014,410470022012,30
1015,410191300003,208
1016,410191700002,208
1017,410191700001,141
1018,410190300001,192
1019,410190300002,268
1020,410190300003,268
1021,410190600001,103
1022,410670330003,71
1023,410670330004,96
1024,410670330002,189
1025,410670330001,148
1026,410670336002,55
1027,410670336003,76
1028,410670336001,62
1029,410670310054,202
1030,410670310051,157
1031,410419515002,396
1032,410419513002,240
1033,410030005002,84
1034,410030005001,105
1035,410030009003,464
1036,410030009004,47
1037,410030009005,40
1038,410030010023,78
1039,410030010021,135
1040,410390032022,197
1041,410390025011,160
1042,410390025013,174
1043,410390027002,339
1044,410390032012,460
1045,410390012022,209
1046,410390007061,240
1047,410419506013,221
1048,410419506012,238
1049,410110005043,224
1050,410110005042,373
1051,410110005045,578
1052,410110005031,129
1053,410390033013,204
1054,410390033012,247
1055,410110005032,226
1056,410050229071,189
1057,410419506022,311
1058,410419901000,0
1059,410419503041,271
1060,410050227071,132
1061,410050229062,82
1062,410670319092,82
1063,410670318121,208
1064,410670318122,555
1065,410510070004,218
1066,410710305014,32
1067,410670324092,436
1068,410670333021,79
1069,410159901010,0
1070,410579901000,0
1071,410670333013,147
1072,410670333012,118
1073,410670318153,151
1074,410290006022,666
1075,410670325031,135
1076,410670302004,144
1077,410510104054,399
1078,410510064042,231
1079,410510064041,217
1080,410510099051,53
1081,410510099052,188
1082,410510099072,201
1083,410510099071,103
1084,410510099073,249
1085,410510104112,216
1086,410670315132,346
1087,410670315133,165
1088,410670301014,230
1089,410670301011,51
1090,410670301013,525
1091,410670301021,290
1092,410670316152,42
1093,410670316154,93
1094,410670316151,273
1095,410670324081,131
1096,410670326081,180
1097,410670326102,102
1098,410670321071,116
1099,410670321042,226
1100,410670326063,39
1101,410670326065,78
1102,410670326064,69
1103,410079501003,302
1104,410079501001,187
1105,410079507001,212
1106,410079504003,75
1107,410079504001,67
1108,410079511001,384
1109,410079511003,205
1110,410110002002,167
1111,410110002001,71
1112,410430306005,261
1113,410430202001,340
1114,410430205001,343
1115,410430205002,541
1116,410192100004,354
1117,410192100002,251
1118,410192100005,214
1119,410192100003,204
1120,410190100002,421
1121,410190100001,220
1122,410190400002,289
1123,410190400003,163
1124,410190400001,115
1125,410190500021,641
1126,410190500024,303
1127,410191000002,200
1128,410191000003,236
1129,410191200004,232
1130,410191200005,149
1131,410191200001,464
1132,410191200002,649
1133,410190900001,180
1134,410190900002,341
1135,410430309022,295
1136,410430309023,170
1137,410430309025,358
1138,410430309033,455
1139,410430309031,299
1140,410430309041,130
1141,410430309043,191
1142,410390012023,380
1143,410390015004,380
1144,410390015001,193
1145,410390015002,479
1146,410390018011,184
1147,410390054001,96
1148,410390043002,355
1149,410390043004,209
1150,410390043001,812
1151,410510038012,52
1152,410510042001,150
